# t (s)	mx ()	my ()	mz ()
0	5.5661924e-09	1.5915832e-08	0.02621478
1.001058960061977e-10	0.6220146	-0.07034282	-0.038608033
2.0016057250362778e-10	0.7934779	-0.029345868	0.023373893
3.00035834416499e-10	0.792941	-0.03626415	-0.05593513
4.0013200570140204e-10	0.821296	-0.031104619	0.034150448
5.002691006120795e-10	0.8752163	-0.031221872	-0.048410118
6.001567374509264e-10	0.8923931	-0.18763378	0.024560146
7.000044707460169e-10	0.8740276	0.07927027	0.045252033
8.000944030595916e-10	0.9063893	-0.024412144	-0.067275934
9.000849361749746e-10	0.9256422	-0.13409996	0.020514715
1.000040713438373e-09	0.92673236	0.0060335766	-0.008697913
1.100201558904701e-09	0.94062996	-0.14064635	-0.010590406
1.200155769375985e-09	0.9591947	0.01019717	0.04306875
1.3003936201871048e-09	0.9594277	0.035763852	-0.052142456
1.4001815815539924e-09	0.9514357	-0.15017855	-0.015707651
