# t (s)	mx ()	my ()	mz ()
0	9.2769875e-10	2.4931904e-08	0.05475492
1.0012543321268552e-10	0.53598356	-0.09197935	-0.046937335
2.0006358324645563e-10	0.7284471	0.11556526	0.0032504045
3.000157613343493e-10	0.7661886	-0.20205903	-0.027250817
4.0003505354410287e-10	0.7716009	0.17169717	0.045029614
5.002181237122489e-10	0.7512796	-0.17527634	-0.04277685
6.000193308917722e-10	0.742625	0.09021256	0.016388409
7.000745877484406e-10	0.76943874	-0.1701618	0.004663817
8.002223719810183e-10	0.83655316	0.19829421	-0.014493041
9.001843029739857e-10	0.87912387	-0.2379528	-0.02495063
1.0001041650052118e-09	0.88371265	0.11206614	0.028612643
1.1001673592826838e-09	0.8420987	-0.14219375	-0.03785738
1.200033897563546e-09	0.8607644	0.074997075	0.044195816
1.3000051199477994e-09	0.90592164	-0.11129811	-0.06602495
1.4002528210326555e-09	0.9491869	-0.0085240565	0.06469985
