# t (s)	mx ()	my ()	mz ()
0	-2.7830962e-09	2.026442e-08	0.042993143
1.0016223325602128e-10	0.60453063	-0.085506536	-0.049889464
2.0008133869289604e-10	0.80382115	0.0896634	0.025722384
3.0022828419729123e-10	0.77488494	-0.10961645	-0.04911405
4.0012925153741765e-10	0.81818825	0.04021974	0.03519604
5.000074711205707e-10	0.8482758	-0.11007342	-0.06149693
6.002691981149161e-10	0.89959514	-0.0032784645	0.06767083
7.001705487694684e-10	0.88270205	0.0027810186	-0.066176414
8.000897690339017e-10	0.87704265	-0.08785139	0.04093401
9.002653729650377e-10	0.9273158	0.067671716	-0.048198808
1.0000587570940696e-09	0.90097237	-0.20735595	-0.008216949
1.1001704229410967e-09	0.91807085	0.03529265	0.04939172
1.2001863424405528e-09	0.93580544	-0.06758405	-0.046533123
1.3001470995246065e-09	0.950519	-0.051816713	0.044156946
1.400185395107132e-09	0.94878083	0.039980516	-0.04751751
